,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
2373,1165,2017-07-07,2017-07-11,Second Class,292,Corporate,Aurora,Illinois,Central,1128,Office Supplies,Paper,23.688000000000002,9.0,0.2,7.698599999999999
2374,1165,2017-07-07,2017-07-11,Second Class,292,Corporate,Aurora,Illinois,Central,323,Furniture,Chairs,253.37199999999996,2.0,0.3,-14.478399999999993
2375,1166,2018-01-24,2018-01-30,Standard Class,236,Consumer,Smyrna,Georgia,South,969,Office Supplies,Fasteners,5.67,3.0,0.0,0.11340000000000017
2377,1167,2015-08-19,2015-08-21,Second Class,474,Consumer,Columbus,Ohio,East,1322,Office Supplies,Supplies,9.184000000000001,2.0,0.2,1.1479999999999988
2378,1168,2016-12-06,2016-12-11,Standard Class,454,Home Office,Thousand Oaks,California,West,1254,Office Supplies,Paper,32.75,5.0,0.0,15.065
2379,1169,2017-05-06,2017-05-10,Standard Class,534,Home Office,Lorain,Ohio,East,485,Office Supplies,Fasteners,7.216,2.0,0.2,1.7138000000000002
2380,1169,2017-05-06,2017-05-10,Standard Class,534,Home Office,Lorain,Ohio,East,1323,Office Supplies,Paper,49.568000000000005,2.0,0.2,15.489999999999997
2381,1169,2017-05-06,2017-05-10,Standard Class,534,Home Office,Lorain,Ohio,East,28,Furniture,Furnishings,54.711999999999996,7.0,0.2,11.626299999999999
2382,1170,2018-03-25,2018-03-26,First Class,610,Consumer,Fresno,California,West,1324,Office Supplies,Appliances,176.04,4.0,0.0,45.770399999999995
2383,1170,2018-03-25,2018-03-26,First Class,610,Consumer,Fresno,California,West,1325,Office Supplies,Art,16.02,9.0,0.0,4.4856
2384,1170,2018-03-25,2018-03-26,First Class,610,Consumer,Fresno,California,West,920,Office Supplies,Binders,185.92000000000002,4.0,0.2,62.74799999999999
2385,1170,2018-03-25,2018-03-26,First Class,610,Consumer,Fresno,California,West,1326,Technology,Phones,211.168,4.0,0.2,15.837600000000009
2386,1170,2018-03-25,2018-03-26,First Class,610,Consumer,Fresno,California,West,1327,Technology,Copiers,479.98400000000004,2.0,0.2,59.99799999999996
2387,1171,2016-12-12,2016-12-15,First Class,589,Consumer,San Diego,California,West,1328,Office Supplies,Fasteners,7.86,2.0,0.0,3.6155999999999997
2388,1171,2016-12-12,2016-12-15,First Class,589,Consumer,San Diego,California,West,1329,Office Supplies,Binders,24.448,2.0,0.2,8.8624
2389,1172,2016-12-06,2016-12-10,Standard Class,611,Consumer,New York City,New York,East,1330,Office Supplies,Paper,6.48,1.0,0.0,3.1104000000000003
2390,1172,2016-12-06,2016-12-10,Standard Class,611,Consumer,New York City,New York,East,1331,Office Supplies,Paper,41.86,7.0,0.0,20.511400000000002
2392,1172,2016-12-06,2016-12-10,Standard Class,611,Consumer,New York City,New York,East,1146,Furniture,Furnishings,113.92,4.0,0.0,42.150400000000005
2393,1173,2017-03-17,2017-03-23,Standard Class,394,Consumer,Malden,Massachusetts,East,397,Office Supplies,Art,39.68,2.0,0.0,10.3168
2394,1174,2016-11-14,2016-11-19,Standard Class,601,Corporate,New York City,New York,East,1202,Technology,Accessories,37.6,2.0,0.0,2.2560000000000002
2395,1174,2016-11-14,2016-11-19,Standard Class,601,Corporate,New York City,New York,East,538,Technology,Accessories,59.9,2.0,0.0,23.96
2396,1174,2016-11-14,2016-11-19,Standard Class,601,Corporate,New York City,New York,East,956,Office Supplies,Paper,37.0,5.0,0.0,16.65
2397,1175,2018-08-14,2018-08-16,Second Class,413,Consumer,San Francisco,California,West,745,Office Supplies,Labels,5.76,2.0,0.0,2.8224
2398,1175,2018-08-14,2018-08-16,Second Class,413,Consumer,San Francisco,California,West,21,Office Supplies,Art,16.68,6.0,0.0,4.336799999999999
2400,1176,2018-09-09,2018-09-15,Standard Class,115,Corporate,Florence,South Carolina,South,1011,Office Supplies,Storage,56.449999999999996,5.0,0.0,14.676999999999998
2401,1177,2018-04-01,2018-04-04,Second Class,548,Consumer,Springfield,Missouri,Central,953,Office Supplies,Storage,94.19999999999999,6.0,0.0,23.550000000000004
2402,1177,2018-04-01,2018-04-04,Second Class,548,Consumer,Springfield,Missouri,Central,152,Office Supplies,Envelopes,28.4,5.0,0.0,13.347999999999997
2405,1179,2018-10-07,2018-10-11,Standard Class,207,Consumer,Los Angeles,California,West,461,Technology,Phones,128.744,7.0,0.2,-28.96739999999999
2407,1180,2018-01-20,2018-01-25,Standard Class,612,Consumer,San Francisco,California,West,1159,Office Supplies,Art,24.2,5.0,0.0,7.986
2409,1181,2018-03-23,2018-03-25,First Class,336,Home Office,San Francisco,California,West,1092,Furniture,Furnishings,211.84,8.0,0.0,76.26239999999999
2410,1182,2015-08-01,2015-08-06,Standard Class,357,Home Office,Philadelphia,Pennsylvania,East,1053,Office Supplies,Fasteners,5.68,2.0,0.2,1.9169999999999998
2411,1183,2016-06-07,2016-06-09,Second Class,613,Corporate,Los Angeles,California,West,620,Office Supplies,Binders,7.52,5.0,0.2,2.6319999999999997
2412,1184,2015-11-12,2015-11-16,Standard Class,350,Consumer,Los Angeles,California,West,358,Office Supplies,Paper,11.96,2.0,0.0,5.8604
2415,1186,2016-07-06,2016-07-11,Standard Class,452,Home Office,Holyoke,Massachusetts,East,415,Furniture,Bookcases,301.96,2.0,0.0,60.391999999999996
2417,1187,2018-10-12,2018-10-18,Standard Class,614,Corporate,Albuquerque,New Mexico,West,1197,Office Supplies,Binders,79.87200000000001,3.0,0.2,29.951999999999998
2419,1189,2018-11-09,2018-11-14,Standard Class,565,Corporate,Coachella,California,West,967,Office Supplies,Storage,63.56,2.0,0.0,3.1779999999999973
2420,1189,2018-11-09,2018-11-14,Standard Class,565,Corporate,Coachella,California,West,1336,Technology,Accessories,99.99,1.0,0.0,43.9956
2422,1190,2017-04-18,2017-04-23,Standard Class,615,Home Office,Elmhurst,Illinois,Central,670,Office Supplies,Paper,9.664000000000001,2.0,0.2,3.2615999999999996
2423,1191,2018-12-25,2018-12-30,Standard Class,603,Consumer,Fairfield,Ohio,East,721,Technology,Accessories,158.928,7.0,0.2,41.718599999999995
2424,1191,2018-12-25,2018-12-30,Standard Class,603,Consumer,Fairfield,Ohio,East,1311,Office Supplies,Binders,13.023000000000001,1.0,0.7,-10.418399999999998
2429,1192,2017-06-11,2017-06-17,Standard Class,89,Corporate,Arlington,Texas,Central,1073,Furniture,Furnishings,12.544000000000002,7.0,0.6,-9.094400000000004
2430,1193,2018-05-13,2018-05-20,Standard Class,176,Home Office,San Francisco,California,West,2,Office Supplies,Labels,58.48,8.0,0.0,27.485599999999998
2431,1194,2018-12-28,2019-01-02,Standard Class,447,Corporate,Seattle,Washington,West,345,Furniture,Furnishings,7.4,2.0,0.0,3.0340000000000007
2432,1195,2015-03-25,2015-04-01,Standard Class,616,Consumer,New York City,New York,East,1340,Furniture,Chairs,366.786,7.0,0.1,65.2064
2433,1196,2018-05-28,2018-06-01,Standard Class,101,Consumer,Houston,Texas,Central,1259,Technology,Phones,54.367999999999995,4.0,0.2,4.077599999999997
2434,1197,2016-11-14,2016-11-17,First Class,601,Corporate,Springfield,Virginia,South,618,Office Supplies,Envelopes,33.96,2.0,0.0,16.98
2438,1199,2015-11-18,2015-11-20,Second Class,617,Consumer,Louisville,Colorado,West,862,Office Supplies,Paper,35.808,4.0,0.2,12.5328
2439,1200,2018-07-17,2018-07-22,Standard Class,517,Consumer,Tampa,Florida,South,627,Furniture,Furnishings,7.904000000000001,2.0,0.2,2.1736000000000004
2440,1201,2017-05-22,2017-05-27,Standard Class,578,Consumer,Passaic,New Jersey,East,302,Technology,Phones,345.0,5.0,0.0,86.25
2441,1201,2017-05-22,2017-05-27,Standard Class,578,Consumer,Passaic,New Jersey,East,209,Furniture,Tables,174.28599999999997,2.0,0.3,-19.91839999999999
2443,1201,2017-05-22,2017-05-27,Standard Class,578,Consumer,Passaic,New Jersey,East,452,Technology,Accessories,95.1,5.0,0.0,30.431999999999995
2444,1201,2017-05-22,2017-05-27,Standard Class,578,Consumer,Passaic,New Jersey,East,1343,Office Supplies,Envelopes,26.880000000000003,6.0,0.0,12.902400000000002
2445,1201,2017-05-22,2017-05-27,Standard Class,578,Consumer,Passaic,New Jersey,East,957,Technology,Phones,257.98,2.0,0.0,74.8142
2446,1202,2016-09-25,2016-10-01,Standard Class,562,Consumer,Los Angeles,California,West,755,Office Supplies,Envelopes,17.48,2.0,0.0,8.2156
2447,1203,2017-10-31,2017-11-06,Standard Class,217,Consumer,Philadelphia,Pennsylvania,East,1153,Furniture,Chairs,492.835,5.0,0.3,-14.080999999999989
2448,1204,2016-09-14,2016-09-17,Second Class,200,Consumer,North Charleston,South Carolina,South,435,Office Supplies,Storage,269.49,3.0,0.0,5.389799999999994
2449,1205,2017-11-05,2017-11-10,Standard Class,37,Home Office,San Jose,California,West,1344,Office Supplies,Binders,29.120000000000005,5.0,0.2,9.827999999999996
2450,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,1345,Office Supplies,Labels,18.75,5.0,0.0,9.0
2451,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,424,Technology,Phones,119.69999999999999,6.0,0.0,31.121999999999996
2452,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,536,Office Supplies,Binders,9.144,3.0,0.2,3.0860999999999996
2453,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,452,Technology,Accessories,57.06,3.0,0.0,18.2592
2454,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,1044,Technology,Accessories,71.6,8.0,0.0,13.603999999999992
2455,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,1031,Office Supplies,Storage,107.44,8.0,0.0,27.934399999999997
2456,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,676,Office Supplies,Labels,7.31,1.0,0.0,3.4356999999999998
2457,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,32,Office Supplies,Art,59.099999999999994,6.0,0.0,22.458000000000002
2458,1206,2018-03-17,2018-03-22,Second Class,591,Consumer,New York City,New York,East,170,Office Supplies,Storage,46.53,3.0,0.0,12.097800000000001
2459,1207,2018-08-15,2018-08-21,Standard Class,506,Consumer,Plainfield,New Jersey,East,414,Office Supplies,Appliances,97.84,2.0,0.0,25.4384
2460,1208,2016-07-11,2016-07-13,Second Class,618,Consumer,Seattle,Washington,West,843,Office Supplies,Paper,29.97,3.0,0.0,13.4865
2461,1208,2016-07-11,2016-07-13,Second Class,618,Consumer,Seattle,Washington,West,800,Office Supplies,Binders,98.352,3.0,0.2,34.42319999999999
2462,1209,2018-12-03,2018-12-09,Standard Class,427,Consumer,New York City,New York,East,301,Office Supplies,Binders,83.92000000000002,5.0,0.2,29.371999999999993
2463,1209,2018-12-03,2018-12-09,Standard Class,427,Consumer,New York City,New York,East,1316,Office Supplies,Binders,14.624000000000002,2.0,0.2,5.118399999999999
2464,1209,2018-12-03,2018-12-09,Standard Class,427,Consumer,New York City,New York,East,819,Technology,Phones,136.99,1.0,0.0,36.987300000000005
2465,1209,2018-12-03,2018-12-09,Standard Class,427,Consumer,New York City,New York,East,395,Office Supplies,Labels,3.15,1.0,0.0,1.512
2466,1210,2018-05-04,2018-05-08,Standard Class,177,Consumer,Newport News,Virginia,South,1346,Office Supplies,Paper,9.11,1.0,0.0,4.099499999999999
2468,1210,2018-05-04,2018-05-08,Standard Class,177,Consumer,Newport News,Virginia,South,1347,Office Supplies,Paper,32.400000000000006,5.0,0.0,15.552000000000001
2469,1210,2018-05-04,2018-05-08,Standard Class,177,Consumer,Newport News,Virginia,South,1036,Office Supplies,Storage,16.91,1.0,0.0,4.5657
2470,1211,2017-01-22,2017-01-28,Standard Class,619,Consumer,Fayetteville,North Carolina,South,1348,Furniture,Furnishings,14.272,8.0,0.2,4.281600000000001
2472,1211,2017-01-22,2017-01-28,Standard Class,619,Consumer,Fayetteville,North Carolina,South,1266,Office Supplies,Appliances,64.864,4.0,0.2,6.486400000000003
2473,1212,2017-11-03,2017-11-06,First Class,418,Consumer,Los Angeles,California,West,1349,Furniture,Chairs,217.58400000000003,2.0,0.2,-29.91780000000002
2474,1212,2017-11-03,2017-11-06,First Class,418,Consumer,Los Angeles,California,West,1350,Technology,Accessories,82.95,5.0,0.0,29.0325
2475,1212,2017-11-03,2017-11-06,First Class,418,Consumer,Los Angeles,California,West,1351,Office Supplies,Labels,87.71,7.0,0.0,41.223699999999994
2478,1214,2015-09-13,2015-09-19,Standard Class,419,Consumer,New York City,New York,East,6,Office Supplies,Art,5.46,3.0,0.0,1.4742000000000002
2479,1215,2018-06-19,2018-06-25,Standard Class,383,Consumer,Dallas,Texas,Central,1352,Office Supplies,Supplies,11.184000000000001,1.0,0.2,0.8388
2482,1217,2018-08-28,2018-09-03,Standard Class,607,Home Office,Seattle,Washington,West,1353,Technology,Phones,35.168,4.0,0.2,11.429599999999999
2484,1217,2018-08-28,2018-09-03,Standard Class,607,Home Office,Seattle,Washington,West,444,Office Supplies,Binders,99.68000000000002,5.0,0.2,32.396
2485,1217,2018-08-28,2018-09-03,Standard Class,607,Home Office,Seattle,Washington,West,449,Office Supplies,Art,5.56,2.0,0.0,1.4455999999999998
2486,1218,2016-01-02,2016-01-04,Second Class,118,Corporate,Newark,Delaware,East,1354,Office Supplies,Storage,85.52,2.0,0.0,22.2352
2487,1218,2016-01-02,2016-01-04,Second Class,118,Corporate,Newark,Delaware,East,1355,Office Supplies,Art,9.84,3.0,0.0,2.6568000000000005
2488,1218,2016-01-02,2016-01-04,Second Class,118,Corporate,Newark,Delaware,East,1283,Office Supplies,Paper,20.04,3.0,0.0,9.6192
2490,1219,2016-10-09,2016-10-13,Second Class,621,Consumer,New York City,New York,East,1357,Office Supplies,Paper,23.92,4.0,0.0,10.764
2491,1220,2015-12-13,2015-12-15,Second Class,44,Consumer,Los Angeles,California,West,1111,Office Supplies,Paper,90.24,6.0,0.0,41.51039999999999
2496,1224,2016-09-26,2016-10-01,Standard Class,354,Home Office,San Diego,California,West,80,Office Supplies,Storage,64.17,3.0,0.0,18.609299999999998
2497,1224,2016-09-26,2016-10-01,Standard Class,354,Home Office,San Diego,California,West,633,Office Supplies,Envelopes,124.46,2.0,0.0,58.49619999999999
2498,1225,2017-05-19,2017-05-24,Standard Class,387,Corporate,San Francisco,California,West,1224,Office Supplies,Binders,9.584000000000001,1.0,0.2,3.3543999999999996
2499,1226,2018-06-22,2018-06-23,First Class,419,Consumer,Miami,Florida,South,1358,Office Supplies,Envelopes,37.608000000000004,3.0,0.2,12.692699999999995
2500,1227,2018-06-17,2018-06-20,First Class,624,Corporate,Skokie,Illinois,Central,827,Office Supplies,Paper,12.224,2.0,0.2,4.4312
2503,1228,2017-11-14,2017-11-19,Standard Class,625,Consumer,San Francisco,California,West,1238,Office Supplies,Labels,7.38,2.0,0.0,3.4686
2504,1229,2015-07-25,2015-07-27,Second Class,107,Consumer,San Francisco,California,West,230,Office Supplies,Storage,53.72,4.0,0.0,15.041600000000003
2506,1229,2015-07-25,2015-07-27,Second Class,107,Consumer,San Francisco,California,West,221,Furniture,Furnishings,77.92,8.0,0.0,34.284800000000004
2508,1231,2018-03-02,2018-03-08,Standard Class,199,Corporate,Los Angeles,California,West,1361,Technology,Phones,196.776,3.0,0.2,14.758199999999995
2509,1231,2018-03-02,2018-03-08,Standard Class,199,Corporate,Los Angeles,California,West,914,Technology,Accessories,479.93999999999994,6.0,0.0,52.79340000000002
2511,1233,2016-04-18,2016-04-19,First Class,608,Consumer,Monroe,Louisiana,South,936,Technology,Accessories,106.5,6.0,0.0,41.535
2513,1235,2017-11-11,2017-11-17,Standard Class,179,Corporate,Chicago,Illinois,Central,1048,Technology,Accessories,95.968,4.0,0.2,1.1995999999999931
2514,1235,2017-11-11,2017-11-17,Standard Class,179,Corporate,Chicago,Illinois,Central,877,Furniture,Chairs,47.992,2.0,0.3,-2.056799999999999
2515,1236,2015-09-05,2015-09-10,Standard Class,413,Consumer,Bowling Green,Ohio,East,546,Office Supplies,Storage,264.32,2.0,0.2,19.823999999999998
2517,1238,2018-05-02,2018-05-07,Standard Class,61,Corporate,Westfield,New Jersey,East,784,Furniture,Furnishings,129.93,3.0,0.0,12.992999999999988
2518,1239,2017-10-15,2017-10-21,Standard Class,522,Home Office,Oklahoma City,Oklahoma,Central,1363,Office Supplies,Labels,20.16,7.0,0.0,9.8784
2519,1239,2017-10-15,2017-10-21,Standard Class,522,Home Office,Oklahoma City,Oklahoma,Central,607,Office Supplies,Labels,29.46,6.0,0.0,14.4354
2521,1239,2017-10-15,2017-10-21,Standard Class,522,Home Office,Oklahoma City,Oklahoma,Central,89,Office Supplies,Paper,12.96,2.0,0.0,6.2208000000000006
2522,1239,2017-10-15,2017-10-21,Standard Class,522,Home Office,Oklahoma City,Oklahoma,Central,895,Technology,Phones,5.5,1.0,0.0,1.375
2523,1239,2017-10-15,2017-10-21,Standard Class,522,Home Office,Oklahoma City,Oklahoma,Central,999,Office Supplies,Binders,121.6,4.0,0.0,55.93599999999999
2524,1240,2016-04-06,2016-04-10,Standard Class,627,Consumer,Houston,Texas,Central,512,Office Supplies,Art,42.047999999999995,9.0,0.2,5.2559999999999985
2525,1240,2016-04-06,2016-04-10,Standard Class,627,Consumer,Houston,Texas,Central,1365,Technology,Accessories,25.488,2.0,0.2,4.4604
2528,1240,2016-04-06,2016-04-10,Standard Class,627,Consumer,Houston,Texas,Central,1050,Office Supplies,Paper,7.968000000000001,2.0,0.2,2.8884000000000007
2529,1241,2015-10-24,2015-10-29,Standard Class,626,Home Office,Fort Lauderdale,Florida,South,739,Office Supplies,Paper,10.368000000000002,2.0,0.2,3.6288
2530,1242,2015-08-17,2015-08-21,Standard Class,137,Corporate,Little Rock,Arkansas,South,1138,Office Supplies,Paper,114.2,5.0,0.0,52.532
2531,1242,2015-08-17,2015-08-21,Standard Class,137,Corporate,Little Rock,Arkansas,South,1366,Office Supplies,Binders,17.96,4.0,0.0,8.2616
2532,1242,2015-08-17,2015-08-21,Standard Class,137,Corporate,Little Rock,Arkansas,South,1088,Office Supplies,Fasteners,12.67,7.0,0.0,4.5611999999999995
2535,1244,2016-09-06,2016-09-08,First Class,628,Corporate,La Quinta,California,West,103,Technology,Accessories,46.32,4.0,0.0,18.0648
2541,1247,2017-04-30,2017-05-04,Standard Class,629,Corporate,Scottsdale,Arizona,West,561,Furniture,Furnishings,111.888,7.0,0.2,22.3776
2542,1248,2015-09-26,2015-10-01,Second Class,630,Corporate,Philadelphia,Pennsylvania,East,810,Office Supplies,Appliances,143.952,3.0,0.2,14.39520000000001
2543,1249,2017-09-08,2017-09-14,Standard Class,399,Home Office,Malden,Massachusetts,East,1368,Furniture,Bookcases,173.94,3.0,0.0,13.915199999999992
2544,1249,2017-09-08,2017-09-14,Standard Class,399,Home Office,Malden,Massachusetts,East,1238,Office Supplies,Labels,14.76,4.0,0.0,6.9372
2545,1250,2018-04-16,2018-04-20,Standard Class,32,Consumer,San Jose,California,West,232,Office Supplies,Storage,205.92,4.0,0.0,2.059200000000004
2546,1250,2018-04-16,2018-04-20,Standard Class,32,Consumer,San Jose,California,West,430,Furniture,Bookcases,102.833,1.0,0.15,-6.0489999999999995
2547,1251,2016-08-16,2016-08-22,Standard Class,622,Consumer,Phoenix,Arizona,West,826,Office Supplies,Art,2.304,1.0,0.2,0.2592
2550,1251,2016-08-16,2016-08-22,Standard Class,622,Consumer,Phoenix,Arizona,West,816,Office Supplies,Labels,5.04,2.0,0.2,1.764
2552,1252,2018-11-19,2018-11-23,Standard Class,455,Consumer,Henderson,Kentucky,South,1045,Office Supplies,Binders,21.96,2.0,0.0,10.7604
2553,1253,2017-09-14,2017-09-18,Standard Class,43,Home Office,Columbia,South Carolina,South,815,Office Supplies,Paper,25.92,4.0,0.0,12.441600000000001
2555,1255,2016-09-26,2016-09-30,Standard Class,58,Consumer,New York City,New York,East,1371,Technology,Accessories,50.0,2.0,0.0,12.0
2557,1257,2016-03-24,2016-03-30,Standard Class,130,Corporate,Coral Springs,Florida,South,1298,Office Supplies,Appliances,6.992000000000001,2.0,0.2,0.5244
2559,1258,2016-05-31,2016-06-04,Standard Class,612,Consumer,Orem,Utah,West,365,Office Supplies,Labels,15.75,5.0,0.0,7.5600000000000005
2560,1258,2016-05-31,2016-06-04,Standard Class,612,Consumer,Orem,Utah,West,765,Office Supplies,Storage,323.1,2.0,0.0,61.38900000000001
2561,1259,2016-12-25,2016-12-31,Standard Class,93,Consumer,Nashville,Tennessee,South,1186,Office Supplies,Labels,9.216,4.0,0.2,3.3408
2562,1259,2016-12-25,2016-12-31,Standard Class,93,Consumer,Nashville,Tennessee,South,1290,Office Supplies,Paper,10.368000000000002,2.0,0.2,3.6288
2563,1260,2016-03-17,2016-03-22,Second Class,403,Corporate,New York City,New York,East,1374,Technology,Accessories,15.02,1.0,0.0,2.7036
2564,1260,2016-03-17,2016-03-22,Second Class,403,Corporate,New York City,New York,East,1036,Office Supplies,Storage,33.82,2.0,0.0,9.1314
2565,1261,2018-12-21,2018-12-24,First Class,631,Consumer,Bowling Green,Kentucky,South,936,Technology,Accessories,71.0,4.0,0.0,27.689999999999998
2566,1262,2018-11-01,2018-11-03,Second Class,227,Consumer,Bellingham,Washington,West,1375,Office Supplies,Binders,25.120000000000005,5.0,0.2,7.849999999999998
2570,1264,2018-12-27,2018-12-27,Same Day,112,Corporate,Newark,Ohio,East,154,Office Supplies,Art,13.248,4.0,0.2,3.6431999999999998
2571,1265,2018-07-16,2018-07-21,Standard Class,91,Home Office,Woodstock,Illinois,Central,853,Office Supplies,Art,2.9120000000000004,2.0,0.2,0.9099999999999998
2574,1268,2015-11-22,2015-11-27,Standard Class,19,Corporate,Columbus,Georgia,South,897,Office Supplies,Envelopes,16.23,3.0,0.0,7.9527
2576,1268,2015-11-22,2015-11-27,Standard Class,19,Corporate,Columbus,Georgia,South,152,Office Supplies,Envelopes,11.36,2.0,0.0,5.339199999999999
2578,1269,2015-01-26,2015-01-31,Standard Class,174,Home Office,Alexandria,Virginia,South,1377,Furniture,Furnishings,62.82000000000001,3.0,0.0,30.7818
2579,1269,2015-01-26,2015-01-31,Standard Class,174,Home Office,Alexandria,Virginia,South,854,Office Supplies,Storage,489.92,8.0,0.0,0.0
2580,1269,2015-01-26,2015-01-31,Standard Class,174,Home Office,Alexandria,Virginia,South,934,Office Supplies,Paper,19.44,3.0,0.0,9.3312
2581,1269,2015-01-26,2015-01-31,Standard Class,174,Home Office,Alexandria,Virginia,South,1305,Office Supplies,Paper,16.68,2.0,0.0,8.34
2583,1269,2015-01-26,2015-01-31,Standard Class,174,Home Office,Alexandria,Virginia,South,1379,Furniture,Furnishings,12.419999999999998,3.0,0.0,4.4712
2584,1269,2015-01-26,2015-01-31,Standard Class,174,Home Office,Alexandria,Virginia,South,539,Technology,Phones,187.98,2.0,0.0,52.6344
2585,1270,2016-11-03,2016-11-10,Standard Class,294,Corporate,Haltom City,Texas,Central,318,Office Supplies,Envelopes,6.6080000000000005,2.0,0.2,2.1475999999999997
2586,1271,2018-06-30,2018-07-06,Standard Class,267,Consumer,New York City,New York,East,841,Office Supplies,Storage,248.57,7.0,0.0,67.11390000000002
2587,1271,2018-06-30,2018-07-06,Standard Class,267,Consumer,New York City,New York,East,1380,Furniture,Furnishings,22.23,1.0,0.0,9.781200000000002
2588,1272,2017-05-05,2017-05-09,Standard Class,593,Home Office,Los Angeles,California,West,1198,Office Supplies,Storage,5.98,1.0,0.0,1.0165999999999995
2589,1272,2017-05-05,2017-05-09,Standard Class,593,Home Office,Los Angeles,California,West,239,Technology,Phones,246.168,3.0,0.2,21.539699999999996
2590,1273,2017-09-08,2017-09-14,Standard Class,339,Consumer,Wheeling,Illinois,Central,1381,Furniture,Furnishings,14.136000000000003,2.0,0.6,-7.774799999999999
2592,1274,2018-11-24,2018-11-26,Second Class,276,Corporate,Summerville,South Carolina,South,1255,Technology,Phones,79.1,2.0,0.0,39.55
2594,1275,2018-05-13,2018-05-17,Standard Class,312,Corporate,Columbus,Indiana,Central,231,Office Supplies,Envelopes,180.96,2.0,0.0,81.432
2598,1275,2018-05-13,2018-05-17,Standard Class,312,Corporate,Columbus,Indiana,Central,1383,Office Supplies,Paper,14.940000000000001,3.0,0.0,7.320600000000001
2599,1276,2018-04-23,2018-04-29,Standard Class,85,Consumer,New York City,New York,East,1306,Office Supplies,Appliances,121.94,2.0,0.0,35.362599999999986
2600,1276,2018-04-23,2018-04-29,Standard Class,85,Consumer,New York City,New York,East,354,Office Supplies,Supplies,122.71000000000001,7.0,0.0,36.81299999999999
2601,1277,2017-06-04,2017-06-04,Same Day,633,Consumer,New York City,New York,East,811,Office Supplies,Paper,14.940000000000001,3.0,0.0,7.021800000000001
2603,1277,2017-06-04,2017-06-04,Same Day,633,Consumer,New York City,New York,East,1057,Furniture,Bookcases,136.784,1.0,0.2,5.129400000000004
2604,1277,2017-06-04,2017-06-04,Same Day,633,Consumer,New York City,New York,East,677,Furniture,Furnishings,61.12,4.0,0.0,20.7808
2605,1278,2015-12-16,2015-12-21,Standard Class,634,Corporate,Jacksonville,Florida,South,1065,Office Supplies,Binders,1.1670000000000003,1.0,0.7,-0.8557999999999999
2606,1279,2017-03-04,2017-03-10,Standard Class,450,Home Office,San Diego,California,West,1385,Office Supplies,Art,16.99,1.0,0.0,4.927099999999998
2607,1280,2015-11-25,2015-11-30,Standard Class,565,Corporate,Arlington,Texas,Central,1386,Technology,Accessories,24.672,3.0,0.2,0.0
2608,1280,2015-11-25,2015-11-30,Standard Class,565,Corporate,Arlington,Texas,Central,395,Office Supplies,Labels,2.52,1.0,0.2,0.882
2610,1280,2015-11-25,2015-11-30,Standard Class,565,Corporate,Arlington,Texas,Central,1238,Office Supplies,Labels,5.904,2.0,0.2,1.9926
2611,1280,2015-11-25,2015-11-30,Standard Class,565,Corporate,Arlington,Texas,Central,783,Office Supplies,Paper,15.696000000000002,3.0,0.2,5.1011999999999995
2612,1280,2015-11-25,2015-11-30,Standard Class,565,Corporate,Arlington,Texas,Central,534,Furniture,Furnishings,6.096,3.0,0.6,-3.9624000000000006
2613,1281,2017-04-28,2017-05-05,Standard Class,635,Corporate,Los Angeles,California,West,792,Furniture,Chairs,41.568000000000005,2.0,0.2,2.5980000000000008
2614,1282,2015-04-26,2015-05-03,Standard Class,636,Corporate,Los Angeles,California,West,370,Furniture,Chairs,230.28000000000003,3.0,0.2,23.02799999999999
2615,1282,2015-04-26,2015-05-03,Standard Class,636,Corporate,Los Angeles,California,West,31,Office Supplies,Binders,18.288,6.0,0.2,5.714999999999999
2616,1283,2018-04-01,2018-04-05,Standard Class,333,Consumer,San Francisco,California,West,1387,Office Supplies,Labels,5.78,2.0,0.0,2.7166
2618,1284,2018-12-22,2018-12-26,Standard Class,487,Corporate,Carlsbad,New Mexico,West,381,Office Supplies,Art,4.17,3.0,0.0,1.0841999999999998
2619,1284,2018-12-22,2018-12-26,Standard Class,487,Corporate,Carlsbad,New Mexico,West,1020,Technology,Phones,67.04,4.0,0.2,6.703999999999997
2620,1284,2018-12-22,2018-12-26,Standard Class,487,Corporate,Carlsbad,New Mexico,West,253,Office Supplies,Storage,37.32,3.0,0.0,10.4496
2621,1284,2018-12-22,2018-12-26,Standard Class,487,Corporate,Carlsbad,New Mexico,West,932,Office Supplies,Labels,18.45,5.0,0.0,8.6715
2622,1285,2015-12-03,2015-12-06,Second Class,637,Corporate,Saint Louis,Missouri,Central,1193,Office Supplies,Paper,25.92,4.0,0.0,12.441600000000001
